SKU,Vendor,Order quantity,Cost per unit,Order date,Expected delivery,Actual delivery,Lead time
SKU-CRO-0030,WestCo Garments,46,621,2023-06-18,2023-07-27,2023-07-28,40
SKU-CRO-0038,WestCo Garments,49,1060,2023-06-18,2023-08-03,2023-08-05,48
SKU-SHI-0001,UrbanWeave Co.,308,705,2023-06-25,2023-08-08,2023-08-13,49
SKU-CRO-0005,StitchWorks India,74,846,2023-06-25,2023-08-05,2023-08-07,43
SKU-SHI-0013,UrbanWeave Co.,53,1227,2023-06-25,2023-08-01,2023-08-06,42
SKU-CRO-0014,Apex Fashions,68,756,2023-06-25,2023-08-03,2023-08-03,39
SKU-SHI-0015,Apex Fashions,45,940,2023-06-25,2023-08-18,2023-08-20,56
SKU-CRO-0019,StitchWorks India,64,726,2023-06-25,2023-08-03,2023-08-06,42
SKU-PAN-0020,WestCo Garments,62,1163,2023-06-25,2023-08-02,2023-08-02,38
SKU-JAC-0027,StitchWorks India,42,1871,2023-06-25,2023-08-04,2023-08-06,42
SKU-JAC-0031,WestCo Garments,40,1800,2023-06-25,2023-08-08,2023-08-13,49
SKU-CRO-0035,Apex Fashions,49,721,2023-06-25,2023-08-15,2023-08-15,51
SKU-PAN-0002,Apex Fashions,174,982,2023-07-02,2023-08-07,2023-08-08,37
SKU-CRO-0007,Apex Fashions,73,818,2023-07-02,2023-08-05,2023-08-10,39
SKU-TSH-0012,UrbanWeave Co.,40,715,2023-07-02,2023-08-14,2023-08-14,43
SKU-SHI-0017,UrbanWeave Co.,54,842,2023-07-02,2023-08-19,2023-08-21,50
SKU-PAN-0021,Apex Fashions,66,1216,2023-07-02,2023-08-10,2023-08-10,39
SKU-SHO-0023,WestCo Garments,40,668,2023-07-02,2023-08-14,2023-08-16,45
SKU-SHI-0024,KnitCraft Studio,40,854,2023-07-02,2023-08-21,2023-08-21,50
SKU-JAC-0025,StitchWorks India,40,1639,2023-07-02,2023-08-17,2023-08-19,48
SKU-SHI-0003,KnitCraft Studio,151,1004,2023-07-09,2023-08-15,2023-08-20,42
SKU-PAN-0022,KnitCraft Studio,40,1076,2023-07-09,2023-08-24,2023-08-24,46
SKU-TSH-0004,StitchWorks India,94,539,2023-07-16,2023-09-08,2023-09-13,59
SKU-SHI-0006,KnitCraft Studio,104,1097,2023-07-16,2023-08-13,2023-08-18,33
SKU-PAN-0008,StitchWorks India,40,1152,2023-07-16,2023-08-26,2023-08-26,41
SKU-PAN-0009,KnitCraft Studio,40,1008,2023-07-16,2023-09-03,2023-09-08,54
SKU-TSH-0010,WestCo Garments,76,782,2023-07-16,2023-08-17,2023-08-20,35
SKU-SHO-0011,WestCo Garments,85,761,2023-07-16,2023-08-18,2023-08-21,36
SKU-PAN-0016,KnitCraft Studio,65,970,2023-07-16,2023-08-13,2023-08-13,28
SKU-PAN-0018,Apex Fashions,40,1176,2023-07-16,2023-08-28,2023-08-29,44
SKU-PAN-0026,WestCo Garments,40,1332,2023-07-16,2023-09-09,2023-09-11,57
SKU-CRO-0030,WestCo Garments,66,621,2023-07-16,2023-09-06,2023-09-06,52
SKU-CRO-0038,WestCo Garments,43,1060,2023-07-16,2023-08-30,2023-09-01,47
SKU-SHI-0001,UrbanWeave Co.,320,705,2023-07-23,2023-09-03,2023-09-03,42
SKU-CRO-0005,StitchWorks India,90,846,2023-07-23,2023-09-16,2023-09-18,57
SKU-SHI-0013,UrbanWeave Co.,44,1227,2023-07-23,2023-09-11,2023-09-16,55
SKU-CRO-0014,Apex Fashions,40,756,2023-07-23,2023-09-15,2023-09-18,57
SKU-SHI-0015,Apex Fashions,40,940,2023-07-23,2023-09-16,2023-09-18,57
SKU-CRO-0019,StitchWorks India,40,726,2023-07-23,2023-09-07,2023-09-08,47
SKU-PAN-0020,WestCo Garments,40,1163,2023-07-23,2023-09-04,2023-09-09,48
SKU-JAC-0027,StitchWorks India,52,1871,2023-07-23,2023-08-21,2023-08-26,34
SKU-PAN-0028,Apex Fashions,40,1317,2023-07-23,2023-08-24,2023-08-26,34
SKU-JAC-0031,WestCo Garments,40,1800,2023-07-23,2023-09-05,2023-09-08,47
SKU-CRO-0035,Apex Fashions,40,721,2023-07-23,2023-09-02,2023-09-04,43
SKU-PAN-0002,Apex Fashions,156,982,2023-07-30,2023-09-08,2023-09-10,42
SKU-CRO-0007,Apex Fashions,64,818,2023-07-30,2023-08-29,2023-09-01,33
SKU-TSH-0012,UrbanWeave Co.,40,715,2023-07-30,2023-09-11,2023-09-12,44
SKU-SHI-0017,UrbanWeave Co.,40,842,2023-07-30,2023-09-22,2023-09-27,59
SKU-PAN-0021,Apex Fashions,47,1216,2023-07-30,2023-09-19,2023-09-22,54
SKU-SHO-0023,WestCo Garments,47,668,2023-07-30,2023-09-07,2023-09-12,44
SKU-SHI-0024,KnitCraft Studio,40,854,2023-07-30,2023-09-21,2023-09-24,56
SKU-JAC-0025,StitchWorks India,40,1639,2023-07-30,2023-08-30,2023-09-01,33
SKU-CRO-0048,Apex Fashions,46,736,2023-07-30,2023-09-02,2023-09-05,37
SKU-SHI-0003,KnitCraft Studio,98,1004,2023-08-06,2023-09-14,2023-09-19,44
SKU-PAN-0022,KnitCraft Studio,64,1076,2023-08-06,2023-09-05,2023-09-05,30
SKU-TSH-0004,StitchWorks India,117,539,2023-08-13,2023-09-26,2023-09-26,44
SKU-SHI-0006,KnitCraft Studio,99,1097,2023-08-13,2023-10-04,2023-10-07,55
SKU-PAN-0008,StitchWorks India,77,1152,2023-08-13,2023-09-23,2023-09-23,41
SKU-PAN-0009,KnitCraft Studio,105,1008,2023-08-13,2023-10-01,2023-10-03,51
SKU-TSH-0010,WestCo Garments,66,782,2023-08-13,2023-09-14,2023-09-16,34
SKU-SHO-0011,WestCo Garments,42,761,2023-08-13,2023-10-02,2023-10-02,50
SKU-PAN-0016,KnitCraft Studio,69,970,2023-08-13,2023-09-25,2023-09-28,46
SKU-PAN-0018,Apex Fashions,40,1176,2023-08-13,2023-09-26,2023-09-27,45
SKU-PAN-0026,WestCo Garments,68,1332,2023-08-13,2023-09-27,2023-10-02,50
SKU-CRO-0030,WestCo Garments,54,621,2023-08-13,2023-09-13,2023-09-16,34
SKU-CRO-0038,WestCo Garments,42,1060,2023-08-13,2023-09-28,2023-09-28,46
SKU-SHI-0001,UrbanWeave Co.,434,705,2023-08-20,2023-09-19,2023-09-19,30
SKU-CRO-0005,StitchWorks India,106,846,2023-08-20,2023-10-06,2023-10-08,49
SKU-SHI-0013,UrbanWeave Co.,48,1227,2023-08-20,2023-10-03,2023-10-05,46
SKU-CRO-0014,Apex Fashions,40,756,2023-08-20,2023-10-03,2023-10-05,46
SKU-SHI-0015,Apex Fashions,64,940,2023-08-20,2023-09-29,2023-10-04,45
SKU-CRO-0019,StitchWorks India,40,726,2023-08-20,2023-09-25,2023-09-28,39
SKU-PAN-0020,WestCo Garments,42,1163,2023-08-20,2023-10-11,2023-10-12,53
SKU-JAC-0027,StitchWorks India,40,1871,2023-08-20,2023-09-28,2023-09-28,39
SKU-PAN-0028,Apex Fashions,40,1317,2023-08-20,2023-10-08,2023-10-10,51
SKU-TSH-0029,KnitCraft Studio,66,701,2023-08-20,2023-09-19,2023-09-21,32
SKU-JAC-0031,WestCo Garments,40,1800,2023-08-20,2023-09-21,2023-09-23,34
SKU-CRO-0035,Apex Fashions,63,721,2023-08-20,2023-09-27,2023-09-29,40
SKU-PAN-0002,Apex Fashions,196,982,2023-08-27,2023-10-17,2023-10-20,54
SKU-CRO-0007,Apex Fashions,94,818,2023-08-27,2023-10-20,2023-10-25,59
SKU-TSH-0012,UrbanWeave Co.,42,715,2023-08-27,2023-09-25,2023-09-30,34
SKU-SHI-0017,UrbanWeave Co.,40,842,2023-08-27,2023-09-30,2023-09-30,34
SKU-PAN-0021,Apex Fashions,66,1216,2023-08-27,2023-09-26,2023-09-28,32
SKU-SHO-0023,WestCo Garments,81,668,2023-08-27,2023-10-10,2023-10-11,45
SKU-SHI-0024,KnitCraft Studio,63,854,2023-08-27,2023-09-25,2023-09-30,34
SKU-JAC-0025,StitchWorks India,76,1639,2023-08-27,2023-10-18,2023-10-18,52
SKU-CRO-0048,Apex Fashions,57,736,2023-08-27,2023-10-14,2023-10-15,49
SKU-SHI-0003,KnitCraft Studio,162,1004,2023-09-03,2023-10-05,2023-10-05,32
SKU-PAN-0022,KnitCraft Studio,70,1076,2023-09-03,2023-10-16,2023-10-21,48
SKU-CRO-0043,WestCo Garments,60,677,2023-09-03,2023-10-29,2023-10-29,56
SKU-TSH-0004,StitchWorks India,136,539,2023-09-10,2023-10-28,2023-10-29,49
SKU-SHI-0006,KnitCraft Studio,136,1097,2023-09-10,2023-11-03,2023-11-03,54
SKU-PAN-0008,StitchWorks India,90,1152,2023-09-10,2023-11-05,2023-11-10,61
SKU-PAN-0009,KnitCraft Studio,46,1008,2023-09-10,2023-10-09,2023-10-10,30
SKU-TSH-0010,WestCo Garments,40,782,2023-09-10,2023-10-26,2023-10-27,47
SKU-SHO-0011,WestCo Garments,66,761,2023-09-10,2023-11-02,2023-11-05,56
SKU-PAN-0016,KnitCraft Studio,65,970,2023-09-10,2023-10-18,2023-10-18,38
SKU-PAN-0018,Apex Fashions,53,1176,2023-09-10,2023-11-03,2023-11-06,57
SKU-PAN-0026,WestCo Garments,69,1332,2023-09-10,2023-10-20,2023-10-20,40
SKU-CRO-0030,WestCo Garments,40,621,2023-09-10,2023-10-19,2023-10-22,42
SKU-CRO-0038,WestCo Garments,56,1060,2023-09-10,2023-11-03,2023-11-03,54
SKU-SHI-0001,UrbanWeave Co.,409,705,2023-09-17,2023-11-04,2023-11-05,49
SKU-CRO-0005,StitchWorks India,106,846,2023-09-17,2023-11-02,2023-11-07,51
SKU-SHI-0013,UrbanWeave Co.,40,1227,2023-09-17,2023-11-12,2023-11-12,56
SKU-CRO-0014,Apex Fashions,76,756,2023-09-17,2023-10-29,2023-11-03,47
SKU-SHI-0015,Apex Fashions,40,940,2023-09-17,2023-10-22,2023-10-27,40
SKU-CRO-0019,StitchWorks India,40,726,2023-09-17,2023-11-03,2023-11-05,49
SKU-PAN-0020,WestCo Garments,50,1163,2023-09-17,2023-11-09,2023-11-10,54
SKU-JAC-0027,StitchWorks India,40,1871,2023-09-17,2023-10-15,2023-10-16,29
SKU-PAN-0028,Apex Fashions,40,1317,2023-09-17,2023-10-15,2023-10-20,33
SKU-TSH-0029,KnitCraft Studio,40,701,2023-09-17,2023-10-20,2023-10-22,35
SKU-JAC-0031,WestCo Garments,54,1800,2023-09-17,2023-11-06,2023-11-11,55
SKU-PAN-0034,UrbanWeave Co.,40,1051,2023-09-17,2023-10-21,2023-10-24,37
SKU-CRO-0035,Apex Fashions,47,721,2023-09-17,2023-10-31,2023-10-31,44
SKU-PAN-0002,Apex Fashions,210,982,2023-09-24,2023-10-22,2023-10-22,28
SKU-CRO-0007,Apex Fashions,67,818,2023-09-24,2023-10-30,2023-10-31,37
SKU-TSH-0012,UrbanWeave Co.,64,715,2023-09-24,2023-11-04,2023-11-06,43
SKU-SHI-0017,UrbanWeave Co.,48,842,2023-09-24,2023-11-15,2023-11-18,55
SKU-PAN-0021,Apex Fashions,62,1216,2023-09-24,2023-11-17,2023-11-17,54
SKU-SHO-0023,WestCo Garments,50,668,2023-09-24,2023-10-25,2023-10-30,36
SKU-SHI-0024,KnitCraft Studio,40,854,2023-09-24,2023-11-12,2023-11-12,49
SKU-JAC-0025,StitchWorks India,64,1639,2023-09-24,2023-11-13,2023-11-13,50
SKU-CRO-0048,Apex Fashions,54,736,2023-09-24,2023-11-12,2023-11-12,49
SKU-SHI-0003,KnitCraft Studio,130,1004,2023-10-01,2023-11-09,2023-11-11,41
SKU-PAN-0022,KnitCraft Studio,62,1076,2023-10-01,2023-10-30,2023-11-01,31
SKU-CRO-0043,WestCo Garments,40,677,2023-10-01,2023-11-26,2023-11-28,58
SKU-TSH-0004,StitchWorks India,116,539,2023-10-08,2023-11-14,2023-11-14,37
SKU-SHI-0006,KnitCraft Studio,63,1097,2023-10-08,2023-11-10,2023-11-10,33
SKU-PAN-0008,StitchWorks India,57,1152,2023-10-08,2023-11-06,2023-11-08,31
SKU-PAN-0009,KnitCraft Studio,84,1008,2023-10-08,2023-11-18,2023-11-18,41
SKU-TSH-0010,WestCo Garments,55,782,2023-10-08,2023-11-16,2023-11-18,41
SKU-SHO-0011,WestCo Garments,56,761,2023-10-08,2023-11-20,2023-11-20,43
SKU-PAN-0016,KnitCraft Studio,52,970,2023-10-08,2023-11-07,2023-11-09,32
SKU-PAN-0018,Apex Fashions,40,1176,2023-10-08,2023-11-17,2023-11-22,45
SKU-PAN-0026,WestCo Garments,56,1332,2023-10-08,2023-11-29,2023-11-29,52
SKU-CRO-0030,WestCo Garments,40,621,2023-10-08,2023-11-22,2023-11-22,45
SKU-CRO-0038,WestCo Garments,62,1060,2023-10-08,2023-11-16,2023-11-16,39
SKU-SHI-0001,UrbanWeave Co.,451,705,2023-10-15,2023-11-14,2023-11-19,35
SKU-CRO-0005,StitchWorks India,116,846,2023-10-15,2023-11-25,2023-11-26,42
SKU-SHI-0013,UrbanWeave Co.,48,1227,2023-10-15,2023-11-14,2023-11-15,31
SKU-CRO-0014,Apex Fashions,62,756,2023-10-15,2023-11-13,2023-11-14,30
SKU-SHI-0015,Apex Fashions,56,940,2023-10-15,2023-11-15,2023-11-16,32
SKU-CRO-0019,StitchWorks India,58,726,2023-10-15,2023-11-30,2023-12-02,48
SKU-PAN-0020,WestCo Garments,68,1163,2023-10-15,2023-11-19,2023-11-19,35
SKU-JAC-0027,StitchWorks India,40,1871,2023-10-15,2023-11-19,2023-11-19,35
SKU-PAN-0028,Apex Fashions,40,1317,2023-10-15,2023-12-07,2023-12-09,55
SKU-TSH-0029,KnitCraft Studio,40,701,2023-10-15,2023-11-14,2023-11-15,31
SKU-JAC-0031,WestCo Garments,58,1800,2023-10-15,2023-11-18,2023-11-18,34
SKU-PAN-0034,UrbanWeave Co.,64,1051,2023-10-15,2023-11-28,2023-11-29,45
SKU-CRO-0035,Apex Fashions,46,721,2023-10-15,2023-11-28,2023-11-30,46
SKU-PAN-0002,Apex Fashions,234,982,2023-10-22,2023-12-01,2023-12-01,40
SKU-CRO-0007,Apex Fashions,102,818,2023-10-22,2023-11-19,2023-11-24,33
SKU-TSH-0012,UrbanWeave Co.,88,715,2023-10-22,2023-12-09,2023-12-10,49
SKU-SHI-0017,UrbanWeave Co.,40,842,2023-10-22,2023-12-17,2023-12-17,56
SKU-PAN-0021,Apex Fashions,56,1216,2023-10-22,2023-12-11,2023-12-16,55
SKU-SHO-0023,WestCo Garments,60,668,2023-10-22,2023-12-05,2023-12-05,44
SKU-SHI-0024,KnitCraft Studio,40,854,2023-10-22,2023-12-16,2023-12-21,60
SKU-JAC-0025,StitchWorks India,74,1639,2023-10-22,2023-12-05,2023-12-05,44
SKU-CRO-0048,Apex Fashions,40,736,2023-10-22,2023-12-01,2023-12-06,45
SKU-SHI-0003,KnitCraft Studio,226,1004,2023-10-29,2023-11-29,2023-11-30,32
SKU-PAN-0022,KnitCraft Studio,64,1076,2023-10-29,2023-12-18,2023-12-20,52
SKU-CRO-0043,WestCo Garments,52,677,2023-10-29,2023-12-16,2023-12-19,51
SKU-TSH-0004,StitchWorks India,172,539,2023-11-05,2023-12-25,2023-12-25,50
SKU-SHI-0006,KnitCraft Studio,82,1097,2023-11-05,2023-12-04,2023-12-05,30
SKU-PAN-0008,StitchWorks India,79,1152,2023-11-05,2023-12-16,2023-12-19,44
SKU-PAN-0009,KnitCraft Studio,70,1008,2023-11-05,2023-12-13,2023-12-13,38
SKU-TSH-0010,WestCo Garments,74,782,2023-11-05,2023-12-31,2024-01-01,57
SKU-SHO-0011,WestCo Garments,68,761,2023-11-05,2023-12-08,2023-12-13,38
SKU-PAN-0016,KnitCraft Studio,64,970,2023-11-05,2023-12-08,2023-12-13,38
SKU-PAN-0018,Apex Fashions,75,1176,2023-11-05,2023-12-09,2023-12-10,35
SKU-PAN-0026,WestCo Garments,66,1332,2023-11-05,2023-12-21,2023-12-23,48
SKU-CRO-0030,WestCo Garments,72,621,2023-11-05,2023-12-18,2023-12-18,43
SKU-CRO-0038,WestCo Garments,50,1060,2023-11-05,2023-12-18,2023-12-23,48
SKU-SHI-0051,StitchWorks India,40,928,2023-11-05,2023-12-09,2023-12-14,39
SKU-SHI-0001,UrbanWeave Co.,576,705,2023-11-12,2023-12-28,2023-12-31,49
SKU-CRO-0005,StitchWorks India,144,846,2023-11-12,2023-12-13,2023-12-16,34
SKU-SHI-0013,UrbanWeave Co.,46,1227,2023-11-12,2024-01-02,2024-01-04,53
SKU-CRO-0014,Apex Fashions,66,756,2023-11-12,2023-12-30,2023-12-30,48
SKU-SHI-0015,Apex Fashions,62,940,2023-11-12,2023-12-22,2023-12-25,43
SKU-CRO-0019,StitchWorks India,52,726,2023-11-12,2023-12-11,2023-12-14,32
SKU-PAN-0020,WestCo Garments,44,1163,2023-11-12,2023-12-13,2023-12-13,31
SKU-JAC-0027,StitchWorks India,53,1871,2023-11-12,2024-01-02,2024-01-07,56
SKU-PAN-0028,Apex Fashions,62,1317,2023-11-12,2023-12-16,2023-12-16,34
SKU-TSH-0029,KnitCraft Studio,40,701,2023-11-12,2023-12-19,2023-12-19,37
SKU-JAC-0031,WestCo Garments,52,1800,2023-11-12,2023-12-29,2023-12-29,47
SKU-TSH-0032,WestCo Garments,40,627,2023-11-12,2024-01-02,2024-01-07,56
SKU-PAN-0034,UrbanWeave Co.,60,1051,2023-11-12,2024-01-07,2024-01-07,56
SKU-CRO-0035,Apex Fashions,40,721,2023-11-12,2023-12-14,2023-12-14,32
SKU-PAN-0002,Apex Fashions,284,982,2023-11-19,2024-01-07,2024-01-12,54
SKU-CRO-0007,Apex Fashions,112,818,2023-11-19,2024-01-13,2024-01-16,58
SKU-TSH-0012,UrbanWeave Co.,81,715,2023-11-19,2024-01-09,2024-01-12,54
SKU-SHI-0017,UrbanWeave Co.,69,842,2023-11-19,2024-01-06,2024-01-11,53
SKU-PAN-0021,Apex Fashions,46,1216,2023-11-19,2023-12-22,2023-12-22,33
SKU-SHO-0023,WestCo Garments,68,668,2023-11-19,2023-12-19,2023-12-22,33
SKU-SHI-0024,KnitCraft Studio,65,854,2023-11-19,2024-01-11,2024-01-11,53
SKU-JAC-0025,StitchWorks India,68,1639,2023-11-19,2024-01-02,2024-01-04,46
SKU-CRO-0048,Apex Fashions,40,736,2023-11-19,2023-12-31,2024-01-03,45
SKU-SHI-0003,KnitCraft Studio,164,1004,2023-11-26,2023-12-30,2023-12-30,34
SKU-PAN-0022,KnitCraft Studio,40,1076,2023-11-26,2024-01-01,2024-01-02,37
SKU-CRO-0043,WestCo Garments,40,677,2023-11-26,2023-12-26,2023-12-31,35
SKU-TSH-0004,StitchWorks India,147,539,2023-12-03,2024-01-18,2024-01-20,48
SKU-SHI-0006,KnitCraft Studio,98,1097,2023-12-03,2024-01-06,2024-01-06,34
SKU-PAN-0008,StitchWorks India,78,1152,2023-12-03,2024-01-04,2024-01-07,35
SKU-PAN-0009,KnitCraft Studio,40,1008,2023-12-03,2024-01-14,2024-01-14,42
SKU-TSH-0010,WestCo Garments,80,782,2023-12-03,2024-01-21,2024-01-23,51
SKU-SHO-0011,WestCo Garments,62,761,2023-12-03,2024-01-04,2024-01-06,34
SKU-PAN-0016,KnitCraft Studio,70,970,2023-12-03,2024-01-26,2024-01-29,57
SKU-PAN-0018,Apex Fashions,40,1176,2023-12-03,2024-01-01,2024-01-01,29
SKU-PAN-0026,WestCo Garments,56,1332,2023-12-03,2024-01-25,2024-01-26,54
SKU-CRO-0030,WestCo Garments,64,621,2023-12-03,2024-01-06,2024-01-07,35
SKU-CRO-0038,WestCo Garments,56,1060,2023-12-03,2024-01-12,2024-01-15,43
SKU-SHI-0051,StitchWorks India,40,928,2023-12-03,2024-01-27,2024-01-27,55
SKU-SHI-0001,UrbanWeave Co.,360,705,2023-12-10,2024-01-29,2024-01-31,52
SKU-CRO-0005,StitchWorks India,92,846,2023-12-10,2024-01-16,2024-01-18,39
SKU-SHI-0013,UrbanWeave Co.,41,1227,2023-12-10,2024-01-17,2024-01-22,43
SKU-CRO-0014,Apex Fashions,46,756,2023-12-10,2024-01-15,2024-01-16,37
SKU-SHI-0015,Apex Fashions,48,940,2023-12-10,2024-01-19,2024-01-19,40
SKU-CRO-0019,StitchWorks India,48,726,2023-12-10,2024-01-29,2024-01-31,52
SKU-PAN-0020,WestCo Garments,40,1163,2023-12-10,2024-01-19,2024-01-24,45
SKU-JAC-0027,StitchWorks India,40,1871,2023-12-10,2024-01-28,2024-02-02,54
SKU-PAN-0028,Apex Fashions,40,1317,2023-12-10,2024-01-28,2024-02-02,54
SKU-TSH-0029,KnitCraft Studio,54,701,2023-12-10,2024-01-07,2024-01-10,31
SKU-JAC-0031,WestCo Garments,47,1800,2023-12-10,2024-01-29,2024-01-29,50
SKU-PAN-0034,UrbanWeave Co.,40,1051,2023-12-10,2024-01-19,2024-01-19,40
SKU-CRO-0035,Apex Fashions,40,721,2023-12-10,2024-02-01,2024-02-03,55
SKU-PAN-0002,Apex Fashions,187,982,2023-12-17,2024-02-07,2024-02-09,54
SKU-CRO-0007,Apex Fashions,64,818,2023-12-17,2024-01-22,2024-01-24,38
SKU-TSH-0012,UrbanWeave Co.,57,715,2023-12-17,2024-01-31,2024-01-31,45
SKU-SHI-0017,UrbanWeave Co.,40,842,2023-12-17,2024-01-18,2024-01-18,32
SKU-PAN-0021,Apex Fashions,41,1216,2023-12-17,2024-01-29,2024-01-29,43
SKU-SHO-0023,WestCo Garments,40,668,2023-12-17,2024-01-19,2024-01-22,36
SKU-SHI-0024,KnitCraft Studio,42,854,2023-12-17,2024-01-22,2024-01-22,36
SKU-JAC-0025,StitchWorks India,60,1639,2023-12-17,2024-01-21,2024-01-21,35
SKU-TSH-0032,WestCo Garments,61,627,2023-12-17,2024-01-30,2024-02-04,49
SKU-CRO-0048,Apex Fashions,40,736,2023-12-17,2024-01-29,2024-01-31,45
SKU-SHI-0003,KnitCraft Studio,154,1004,2023-12-24,2024-02-07,2024-02-08,46
SKU-PAN-0022,KnitCraft Studio,40,1076,2023-12-24,2024-02-09,2024-02-09,47
SKU-CRO-0043,WestCo Garments,45,677,2023-12-24,2024-02-06,2024-02-11,49
SKU-TSH-0004,StitchWorks India,108,539,2023-12-31,2024-02-22,2024-02-23,54
SKU-SHI-0006,KnitCraft Studio,100,1097,2023-12-31,2024-02-07,2024-02-12,43
SKU-PAN-0008,StitchWorks India,58,1152,2023-12-31,2024-02-16,2024-02-21,52
SKU-PAN-0009,KnitCraft Studio,40,1008,2023-12-31,2024-02-18,2024-02-18,49
SKU-TSH-0010,WestCo Garments,64,782,2023-12-31,2024-01-28,2024-01-29,29
SKU-SHO-0011,WestCo Garments,68,761,2023-12-31,2024-02-25,2024-02-26,57
SKU-PAN-0016,KnitCraft Studio,60,970,2023-12-31,2024-02-20,2024-02-23,54
SKU-PAN-0018,Apex Fashions,42,1176,2023-12-31,2024-01-29,2024-02-01,32
SKU-PAN-0026,WestCo Garments,41,1332,2023-12-31,2024-02-13,2024-02-13,44
SKU-CRO-0030,WestCo Garments,40,621,2023-12-31,2024-02-01,2024-02-01,32
SKU-CRO-0038,WestCo Garments,40,1060,2023-12-31,2024-02-18,2024-02-21,52
SKU-SHI-0051,StitchWorks India,57,928,2023-12-31,2024-02-24,2024-02-29,60
SKU-SHI-0001,UrbanWeave Co.,366,705,2024-01-07,2024-02-05,2024-02-10,34
SKU-CRO-0005,StitchWorks India,83,846,2024-01-07,2024-02-16,2024-02-18,42
SKU-SHI-0013,UrbanWeave Co.,40,1227,2024-01-07,2024-02-07,2024-02-07,31
SKU-CRO-0014,Apex Fashions,40,756,2024-01-07,2024-02-27,2024-03-03,56
SKU-SHI-0015,Apex Fashions,40,940,2024-01-07,2024-02-11,2024-02-11,35
SKU-CRO-0019,StitchWorks India,56,726,2024-01-07,2024-02-10,2024-02-10,34
SKU-PAN-0020,WestCo Garments,40,1163,2024-01-07,2024-02-18,2024-02-18,42
SKU-JAC-0027,StitchWorks India,50,1871,2024-01-07,2024-02-18,2024-02-23,47
SKU-PAN-0028,Apex Fashions,40,1317,2024-01-07,2024-02-06,2024-02-06,30
SKU-TSH-0029,KnitCraft Studio,40,701,2024-01-07,2024-03-03,2024-03-05,58
SKU-JAC-0031,WestCo Garments,40,1800,2024-01-07,2024-02-28,2024-03-01,54
SKU-PAN-0034,UrbanWeave Co.,56,1051,2024-01-07,2024-02-09,2024-02-12,36
SKU-CRO-0035,Apex Fashions,40,721,2024-01-07,2024-02-19,2024-02-19,43
SKU-PAN-0002,Apex Fashions,182,982,2024-01-14,2024-02-24,2024-02-24,41
SKU-CRO-0007,Apex Fashions,82,818,2024-01-14,2024-03-02,2024-03-02,48
SKU-TSH-0012,UrbanWeave Co.,66,715,2024-01-14,2024-02-26,2024-02-29,46
SKU-SHI-0017,UrbanWeave Co.,52,842,2024-01-14,2024-02-14,2024-02-14,31
SKU-PAN-0021,Apex Fashions,58,1216,2024-01-14,2024-02-20,2024-02-20,37
SKU-SHO-0023,WestCo Garments,40,668,2024-01-14,2024-03-08,2024-03-10,56
SKU-SHI-0024,KnitCraft Studio,66,854,2024-01-14,2024-02-28,2024-03-02,48
SKU-JAC-0025,StitchWorks India,40,1639,2024-01-14,2024-02-23,2024-02-28,45
SKU-TSH-0032,WestCo Garments,40,627,2024-01-14,2024-02-12,2024-02-14,31
SKU-CRO-0048,Apex Fashions,40,736,2024-01-14,2024-02-26,2024-02-27,44
SKU-SHI-0003,KnitCraft Studio,172,1004,2024-01-21,2024-03-08,2024-03-08,47
SKU-PAN-0022,KnitCraft Studio,52,1076,2024-01-21,2024-02-23,2024-02-28,38
SKU-CRO-0043,WestCo Garments,40,677,2024-01-21,2024-02-26,2024-02-26,36
SKU-TSH-0004,StitchWorks India,100,539,2024-01-28,2024-02-27,2024-03-01,33
SKU-SHI-0006,KnitCraft Studio,56,1097,2024-01-28,2024-03-03,2024-03-05,37
SKU-PAN-0008,StitchWorks India,40,1152,2024-01-28,2024-03-14,2024-03-17,49
SKU-PAN-0009,KnitCraft Studio,74,1008,2024-01-28,2024-03-20,2024-03-21,53
SKU-TSH-0010,WestCo Garments,47,782,2024-01-28,2024-03-06,2024-03-11,43
SKU-SHO-0011,WestCo Garments,56,761,2024-01-28,2024-03-03,2024-03-03,35
SKU-PAN-0016,KnitCraft Studio,40,970,2024-01-28,2024-02-27,2024-03-03,35
SKU-PAN-0018,Apex Fashions,71,1176,2024-01-28,2024-03-08,2024-03-09,41
SKU-PAN-0026,WestCo Garments,40,1332,2024-01-28,2024-02-25,2024-03-01,33
SKU-CRO-0030,WestCo Garments,40,621,2024-01-28,2024-03-17,2024-03-18,50
SKU-CRO-0038,WestCo Garments,40,1060,2024-01-28,2024-03-18,2024-03-20,52
SKU-SHI-0051,StitchWorks India,50,928,2024-01-28,2024-03-13,2024-03-13,45
SKU-JAC-0053,Apex Fashions,40,1660,2024-01-28,2024-03-20,2024-03-21,53
SKU-SHI-0001,UrbanWeave Co.,357,705,2024-02-04,2024-03-23,2024-03-28,53
SKU-CRO-0005,StitchWorks India,90,846,2024-02-04,2024-03-16,2024-03-17,42
SKU-SHI-0013,UrbanWeave Co.,40,1227,2024-02-04,2024-03-17,2024-03-17,42
SKU-CRO-0014,Apex Fashions,70,756,2024-02-04,2024-03-03,2024-03-03,28
SKU-SHI-0015,Apex Fashions,65,940,2024-02-04,2024-03-14,2024-03-17,42
SKU-CRO-0019,StitchWorks India,70,726,2024-02-04,2024-03-28,2024-03-31,56
