SKU,Category,Size,Units in stock,Units sold (last 7/30/60 days),Days of inventory left,Dead stock flag,date
SKU-TSH-0029,tshirts,XL,52,1/3/10,520.0,N,2022-12-11
SKU-CRO-0030,croptops,XXL,16,0/2/5,240.0,N,2022-12-11
SKU-JAC-0031,jackets,M,1,0/3/14,10.0,N,2022-12-11
SKU-TSH-0032,tshirts,XS,59,0/4/6,442.5,N,2022-12-11
SKU-SHO-0033,shorts,S,80,1/5/12,480.0,N,2022-12-11
SKU-PAN-0034,pants,S,42,0/2/7,630.0,N,2022-12-11
SKU-CRO-0035,croptops,XL,12,0/0/8,999.0,N,2022-12-11
SKU-SHI-0036,shirts,XXL,93,2/4/6,697.5,N,2022-12-11
SKU-CRO-0037,croptops,L,84,0/0/3,999.0,N,2022-12-11
SKU-CRO-0038,croptops,XS,9,0/1/6,270.0,N,2022-12-11
SKU-SHO-0039,shorts,XS,72,1/3/9,720.0,N,2022-12-11
SKU-SHO-0040,shorts,XL,94,0/2/5,999.0,N,2022-12-11
SKU-TSH-0041,tshirts,M,99,1/3/6,990.0,N,2022-12-11
SKU-CRO-0042,croptops,M,86,1/3/10,860.0,N,2022-12-11
SKU-CRO-0043,croptops,M,29,0/4/7,217.5,N,2022-12-11
SKU-JAC-0044,jackets,XL,87,0/3/4,870.0,N,2022-12-11
SKU-SHI-0045,shirts,XS,85,0/1/4,999.0,N,2022-12-11
SKU-JAC-0046,jackets,S,104,0/0/5,999.0,N,2022-12-11
SKU-PAN-0047,pants,XL,83,0/3/6,830.0,N,2022-12-11
SKU-CRO-0048,croptops,XXL,30,0/2/3,450.0,N,2022-12-11
SKU-TSH-0049,tshirts,XL,104,0/0/1,999.0,N,2022-12-11
SKU-SHO-0050,shorts,XS,93,0/0/2,999.0,N,2022-12-11
SKU-SHI-0051,shirts,XXL,40,0/3/9,400.0,N,2022-12-11
SKU-SHI-0052,shirts,S,53,2/4/4,397.5,N,2022-12-11
SKU-JAC-0053,jackets,L,49,0/3/7,490.0,N,2022-12-11
SKU-SHI-0054,shirts,XS,56,0/1/2,999.0,N,2022-12-11
SKU-JAC-0055,jackets,XS,94,0/0/2,999.0,N,2022-12-11
SKU-SHI-0001,shirts,XS,0,43/137/327,0.0,N,2022-12-18
SKU-PAN-0002,pants,XXL,0,21/91/182,0.0,N,2022-12-18
SKU-SHI-0003,shirts,S,0,13/52/102,0.0,N,2022-12-18
SKU-TSH-0004,tshirts,M,0,8/30/72,0.0,N,2022-12-18
SKU-CRO-0005,croptops,XS,0,5/27/67,0.0,N,2022-12-18
SKU-SHI-0006,shirts,XL,0,5/23/51,0.0,N,2022-12-18
SKU-CRO-0007,croptops,XL,0,6/29/52,0.0,N,2022-12-18
SKU-PAN-0008,pants,XS,0,4/14/33,0.0,N,2022-12-18
SKU-PAN-0009,pants,XL,0,3/14/32,0.0,N,2022-12-18
SKU-TSH-0010,tshirts,M,0,3/11/23,0.0,N,2022-12-18
SKU-SHO-0011,shorts,XL,0,6/12/20,0.0,N,2022-12-18
SKU-TSH-0012,tshirts,XXL,0,2/10/21,0.0,N,2022-12-18
SKU-SHI-0013,shirts,XL,0,3/13/22,0.0,N,2022-12-18
SKU-CRO-0014,croptops,S,0,0/11/22,0.0,N,2022-12-18
SKU-SHI-0015,shirts,XL,42,3/12/19,105.0,N,2022-12-18
SKU-PAN-0016,pants,L,22,1/3/12,220.0,N,2022-12-18
SKU-SHI-0017,shirts,M,0,0/4/10,0.0,N,2022-12-18
SKU-PAN-0018,pants,L,55,2/5/10,330.0,N,2022-12-18
SKU-CRO-0019,croptops,M,0,1/4/15,0.0,N,2022-12-18
SKU-PAN-0020,pants,L,22,1/2/10,330.0,N,2022-12-18
SKU-PAN-0021,pants,XS,25,0/3/11,250.0,N,2022-12-18
SKU-PAN-0022,pants,L,44,1/8/15,165.0,N,2022-12-18
SKU-SHO-0023,shorts,XS,57,2/3/7,570.0,N,2022-12-18
SKU-SHI-0024,shirts,M,0,2/8/15,0.0,N,2022-12-18
SKU-JAC-0025,jackets,XS,24,0/5/12,144.0,N,2022-12-18
SKU-PAN-0026,pants,XXL,35,2/5/11,210.0,N,2022-12-18
SKU-JAC-0027,jackets,S,0,1/4/10,0.0,N,2022-12-18
SKU-PAN-0028,pants,M,46,2/4/8,345.0,N,2022-12-18
SKU-TSH-0029,tshirts,S,52,0/3/10,520.0,N,2022-12-18
SKU-CRO-0030,croptops,S,16,0/2/4,240.0,N,2022-12-18
SKU-JAC-0031,jackets,M,0,1/4/13,0.0,N,2022-12-18
SKU-TSH-0032,tshirts,XS,59,0/3/6,590.0,N,2022-12-18
SKU-SHO-0033,shorts,M,80,0/3/10,800.0,N,2022-12-18
SKU-PAN-0034,pants,S,41,1/3/6,410.0,N,2022-12-18
SKU-CRO-0035,croptops,S,10,2/2/7,150.0,N,2022-12-18
SKU-SHI-0036,shirts,XS,92,1/4/7,690.0,N,2022-12-18
SKU-CRO-0037,croptops,M,83,1/1/2,999.0,N,2022-12-18
SKU-CRO-0038,croptops,XXL,9,0/1/5,270.0,N,2022-12-18
SKU-SHO-0039,shorts,XS,72,0/3/6,720.0,N,2022-12-18
SKU-SHO-0040,shorts,S,93,1/1/6,999.0,N,2022-12-18
SKU-TSH-0041,tshirts,XS,99,0/1/5,999.0,N,2022-12-18
SKU-CRO-0042,croptops,XS,86,0/2/8,999.0,N,2022-12-18
SKU-CRO-0043,croptops,XL,27,2/5/6,162.0,N,2022-12-18
SKU-JAC-0044,jackets,L,86,1/3/5,860.0,N,2022-12-18
SKU-SHI-0045,shirts,M,84,1/2/4,999.0,N,2022-12-18
SKU-JAC-0046,jackets,L,102,2/2/3,999.0,N,2022-12-18
SKU-PAN-0047,pants,XL,83,0/2/5,999.0,N,2022-12-18
SKU-CRO-0048,croptops,L,29,1/2/4,435.0,N,2022-12-18
SKU-TSH-0049,tshirts,XL,104,0/0/1,999.0,N,2022-12-18
SKU-SHO-0050,shorts,XXL,93,0/0/1,999.0,N,2022-12-18
SKU-SHI-0051,shirts,L,39,1/3/8,390.0,N,2022-12-18
SKU-SHI-0052,shirts,S,53,0/4/4,397.5,N,2022-12-18
SKU-JAC-0053,jackets,XXL,48,1/2/8,720.0,N,2022-12-18
SKU-SHI-0054,shirts,M,55,1/1/3,999.0,N,2022-12-18
SKU-JAC-0055,jackets,M,94,0/0/2,999.0,N,2022-12-18
SKU-SHI-0001,shirts,XXL,0,37/143/324,0.0,N,2022-12-25
SKU-PAN-0002,pants,XL,0,22/92/181,0.0,N,2022-12-25
SKU-SHI-0003,shirts,XS,0,18/61/108,0.0,N,2022-12-25
SKU-TSH-0004,tshirts,L,0,14/37/75,0.0,N,2022-12-25
SKU-CRO-0005,croptops,XXL,0,6/26/62,0.0,N,2022-12-25
SKU-SHI-0006,shirts,L,0,5/23/48,0.0,N,2022-12-25
SKU-CRO-0007,croptops,XL,0,5/24/52,0.0,N,2022-12-25
SKU-PAN-0008,pants,XS,0,5/14/37,0.0,N,2022-12-25
SKU-PAN-0009,pants,XXL,0,4/15/34,0.0,N,2022-12-25
SKU-TSH-0010,tshirts,XXL,0,3/11/24,0.0,N,2022-12-25
SKU-SHO-0011,shorts,XL,0,5/17/23,0.0,N,2022-12-25
SKU-TSH-0012,tshirts,S,0,6/14/25,0.0,N,2022-12-25
SKU-SHI-0013,shirts,XXL,0,1/10/21,0.0,N,2022-12-25
SKU-CRO-0014,croptops,XL,0,4/9/22,0.0,N,2022-12-25
SKU-SHI-0015,shirts,XL,38,4/12/21,95.0,N,2022-12-25
SKU-PAN-0016,pants,XXL,19,3/6/14,95.0,N,2022-12-25
SKU-SHI-0017,shirts,XS,0,2/5/11,0.0,N,2022-12-25
SKU-PAN-0018,pants,XL,50,5/10/13,150.0,N,2022-12-25
SKU-CRO-0019,croptops,XS,0,1/4/12,0.0,N,2022-12-25
SKU-PAN-0020,pants,L,21,1/3/8,210.0,N,2022-12-25
SKU-PAN-0021,pants,XL,23,2/2/11,345.0,N,2022-12-25
SKU-PAN-0022,pants,XS,41,3/11/14,111.8,N,2022-12-25
SKU-SHO-0023,shorts,M,56,1/3/7,560.0,N,2022-12-25
SKU-SHI-0024,shirts,M,0,0/7/13,0.0,N,2022-12-25
SKU-JAC-0025,jackets,XL,24,0/5/11,144.0,N,2022-12-25
SKU-PAN-0026,pants,L,35,0/5/9,210.0,N,2022-12-25
SKU-JAC-0027,jackets,XL,0,1/5/8,0.0,N,2022-12-25
SKU-PAN-0028,pants,S,46,0/4/7,345.0,N,2022-12-25
SKU-TSH-0029,tshirts,XXL,50,2/4/11,375.0,N,2022-12-25
SKU-CRO-0030,croptops,XXL,15,1/2/5,225.0,N,2022-12-25
SKU-JAC-0031,jackets,S,0,1/3/13,0.0,N,2022-12-25
SKU-TSH-0032,tshirts,M,57,2/4/6,427.5,N,2022-12-25
SKU-SHO-0033,shorts,M,78,2/4/9,585.0,N,2022-12-25
SKU-PAN-0034,pants,S,40,1/4/6,300.0,N,2022-12-25
SKU-CRO-0035,croptops,XXL,8,2/4/9,60.0,N,2022-12-25
SKU-SHI-0036,shirts,XS,91,1/5/7,546.0,N,2022-12-25
SKU-CRO-0037,croptops,M,82,1/2/3,999.0,N,2022-12-25
SKU-CRO-0038,croptops,XXL,7,2/3/7,70.0,N,2022-12-25
SKU-SHO-0039,shorts,L,72,0/2/4,999.0,N,2022-12-25
SKU-SHO-0040,shorts,XXL,90,3/4/8,675.0,N,2022-12-25
SKU-TSH-0041,tshirts,S,98,1/2/5,999.0,N,2022-12-25
SKU-CRO-0042,croptops,S,83,3/4/9,622.5,N,2022-12-25
SKU-CRO-0043,croptops,L,27,0/4/6,202.5,N,2022-12-25
SKU-JAC-0044,jackets,XS,86,0/2/4,999.0,N,2022-12-25
SKU-SHI-0045,shirts,L,84,0/1/2,999.0,N,2022-12-25
SKU-JAC-0046,jackets,XXL,101,1/3/3,999.0,N,2022-12-25
SKU-PAN-0047,pants,XS,82,1/1/5,999.0,N,2022-12-25
SKU-CRO-0048,croptops,XL,28,1/3/5,280.0,N,2022-12-25
SKU-TSH-0049,tshirts,L,103,1/1/2,999.0,N,2022-12-25
SKU-SHO-0050,shorts,L,93,0/0/1,999.0,N,2022-12-25
SKU-SHI-0051,shirts,L,39,0/2/7,585.0,N,2022-12-25
SKU-SHI-0052,shirts,L,52,1/5/5,312.0,N,2022-12-25
SKU-JAC-0053,jackets,S,47,1/3/8,470.0,N,2022-12-25
SKU-SHI-0054,shirts,L,54,1/2/4,810.0,N,2022-12-25
SKU-JAC-0055,jackets,L,94,0/0/1,999.0,N,2022-12-25
SKU-SHI-0001,shirts,XXL,0,52/176/326,0.0,N,2023-01-01
SKU-PAN-0002,pants,S,0,16/96/172,0.0,N,2023-01-01
SKU-SHI-0003,shirts,M,0,12/63/110,0.0,N,2023-01-01
SKU-TSH-0004,tshirts,XL,0,9/38/71,0.0,N,2023-01-01
SKU-CRO-0005,croptops,XL,0,10/31/67,0.0,N,2023-01-01
SKU-SHI-0006,shirts,XL,0,7/28/49,0.0,N,2023-01-01
SKU-CRO-0007,croptops,XS,0,3/20/49,0.0,N,2023-01-01
SKU-PAN-0008,pants,XS,0,3/16/33,0.0,N,2023-01-01
SKU-PAN-0009,pants,XL,0,4/16/33,0.0,N,2023-01-01
SKU-TSH-0010,tshirts,XL,0,5/14/26,0.0,N,2023-01-01
SKU-SHO-0011,shorts,L,0,2/17/25,0.0,N,2023-01-01
SKU-TSH-0012,tshirts,S,0,5/19/28,0.0,N,2023-01-01
SKU-SHI-0013,shirts,XL,0,2/8/20,0.0,N,2023-01-01
SKU-CRO-0014,croptops,XS,0,2/9/21,0.0,N,2023-01-01
SKU-SHI-0015,shirts,XL,36,2/12/22,90.0,N,2023-01-01
SKU-PAN-0016,pants,XL,17,2/7/12,72.9,N,2023-01-01
SKU-SHI-0017,shirts,L,0,0/3/9,0.0,N,2023-01-01
SKU-PAN-0018,pants,XXL,49,1/9/13,163.3,N,2023-01-01
SKU-CRO-0019,croptops,XL,0,1/4/7,0.0,N,2023-01-01
SKU-PAN-0020,pants,XXL,18,3/6/9,90.0,N,2023-01-01
SKU-PAN-0021,pants,XL,20,3/5/13,120.0,N,2023-01-01
SKU-PAN-0022,pants,XS,41,0/8/12,153.8,N,2023-01-01
SKU-SHO-0023,shorts,XXL,54,2/5/8,324.0,N,2023-01-01
SKU-SHI-0024,shirts,M,0,3/8/15,0.0,N,2023-01-01
SKU-JAC-0025,jackets,XL,23,1/3/10,230.0,N,2023-01-01
SKU-PAN-0026,pants,XS,34,1/5/8,204.0,N,2023-01-01
SKU-JAC-0027,jackets,S,0,2/7/10,0.0,N,2023-01-01
SKU-PAN-0028,pants,XS,43,3/6/9,215.0,N,2023-01-01
SKU-TSH-0029,tshirts,L,50,0/3/9,500.0,N,2023-01-01
SKU-CRO-0030,croptops,XS,15,0/1/5,450.0,N,2023-01-01
SKU-JAC-0031,jackets,L,0,1/3/8,0.0,N,2023-01-01
SKU-TSH-0032,tshirts,XS,56,1/3/7,560.0,N,2023-01-01
SKU-SHO-0033,shorts,XL,77,1/4/9,577.5,N,2023-01-01
SKU-PAN-0034,pants,L,40,0/2/5,600.0,N,2023-01-01
SKU-CRO-0035,croptops,XXL,6,2/6/6,30.0,N,2023-01-01
SKU-SHI-0036,shirts,XXL,91,0/4/7,682.5,N,2023-01-01
SKU-CRO-0037,croptops,XS,81,1/3/3,810.0,N,2023-01-01
SKU-CRO-0038,croptops,XL,5,2/4/9,37.5,N,2023-01-01
SKU-SHO-0039,shorts,M,71,1/3/5,710.0,N,2023-01-01
SKU-SHO-0040,shorts,XS,90,0/4/7,675.0,N,2023-01-01
SKU-TSH-0041,tshirts,XS,96,2/4/6,720.0,N,2023-01-01
SKU-CRO-0042,croptops,S,82,1/5/10,492.0,N,2023-01-01
SKU-CRO-0043,croptops,L,27,0/3/6,270.0,N,2023-01-01
SKU-JAC-0044,jackets,S,84,2/3/6,840.0,N,2023-01-01
SKU-SHI-0045,shirts,L,84,0/1/2,999.0,N,2023-01-01
SKU-JAC-0046,jackets,XXL,100,1/4/4,750.0,N,2023-01-01
SKU-PAN-0047,pants,L,82,0/1/5,999.0,N,2023-01-01
SKU-CRO-0048,croptops,L,28,0/3/4,280.0,N,2023-01-01
SKU-TSH-0049,tshirts,XXL,102,1/2/2,999.0,N,2023-01-01
SKU-SHO-0050,shorts,XXL,92,1/1/2,999.0,N,2023-01-01
SKU-SHI-0051,shirts,M,39,0/2/5,585.0,N,2023-01-01
SKU-SHI-0052,shirts,L,52,0/4/5,390.0,N,2023-01-01
SKU-JAC-0053,jackets,XL,46,1/3/7,460.0,N,2023-01-01
SKU-SHI-0054,shirts,M,53,1/3/5,530.0,N,2023-01-01
SKU-JAC-0055,jackets,XL,93,1/1/1,999.0,N,2023-01-01
SKU-SHI-0001,shirts,S,0,66/209/343,0.0,N,2023-01-08
SKU-PAN-0002,pants,S,0,28/94/184,0.0,N,2023-01-08
SKU-SHI-0003,shirts,L,0,20/65/112,0.0,N,2023-01-08
SKU-TSH-0004,tshirts,L,0,14/46/75,0.0,N,2023-01-08
SKU-CRO-0005,croptops,M,0,12/35/64,0.0,N,2023-01-08
SKU-SHI-0006,shirts,L,0,7/27/46,0.0,N,2023-01-08
SKU-CRO-0007,croptops,XS,0,7/22/48,0.0,N,2023-01-08
SKU-PAN-0008,pants,XXL,0,3/15/31,0.0,N,2023-01-08
SKU-PAN-0009,pants,XS,0,3/17/26,0.0,N,2023-01-08
SKU-TSH-0010,tshirts,S,0,5/17/26,0.0,N,2023-01-08
SKU-SHO-0011,shorts,L,0,2/15/23,0.0,N,2023-01-08
SKU-TSH-0012,tshirts,XXL,0,2/16/27,0.0,N,2023-01-08
SKU-SHI-0013,shirts,M,0,2/8/21,0.0,N,2023-01-08
SKU-CRO-0014,croptops,XL,0,1/7/20,0.0,N,2023-01-08
SKU-SHI-0015,shirts,XXL,32,4/15/24,64.0,N,2023-01-08
SKU-PAN-0016,pants,M,13,4/10/13,39.0,N,2023-01-08
SKU-SHI-0017,shirts,XL,0,6/8/13,0.0,N,2023-01-08
SKU-PAN-0018,pants,XXL,46,3/12/14,115.0,N,2023-01-08
SKU-CRO-0019,croptops,S,0,1/4/8,0.0,N,2023-01-08
SKU-PAN-0020,pants,S,15,3/9/10,50.0,N,2023-01-08
SKU-PAN-0021,pants,M,19,1/6/11,95.0,N,2023-01-08
SKU-PAN-0022,pants,XL,39,2/6/13,195.0,N,2023-01-08
SKU-SHO-0023,shorts,L,49,5/10/12,147.0,N,2023-01-08
SKU-SHI-0024,shirts,XS,0,1/6/14,0.0,N,2023-01-08
SKU-JAC-0025,jackets,XXL,22,1/2/10,330.0,N,2023-01-08
SKU-PAN-0026,pants,S,34,0/3/8,340.0,N,2023-01-08
SKU-JAC-0027,jackets,XL,0,2/8/10,0.0,N,2023-01-08
SKU-PAN-0028,pants,M,38,5/10/12,114.0,N,2023-01-08
SKU-TSH-0029,tshirts,S,48,2/4/7,360.0,N,2023-01-08
SKU-CRO-0030,croptops,XL,15,0/1/4,450.0,N,2023-01-08
SKU-JAC-0031,jackets,S,0,2/5/8,0.0,N,2023-01-08
SKU-TSH-0032,tshirts,XS,56,0/3/7,560.0,N,2023-01-08
SKU-SHO-0033,shorts,S,76,1/4/9,570.0,N,2023-01-08
SKU-PAN-0034,pants,XL,37,3/5/8,222.0,N,2023-01-08
SKU-CRO-0035,croptops,XXL,6,0/6/6,30.0,N,2023-01-08
SKU-SHI-0036,shirts,M,91,0/3/6,910.0,N,2023-01-08
SKU-CRO-0037,croptops,S,78,3/6/6,390.0,N,2023-01-08
SKU-CRO-0038,croptops,L,5,0/4/6,37.5,N,2023-01-08
SKU-SHO-0039,shorts,S,69,2/4/6,517.5,N,2023-01-08
SKU-SHO-0040,shorts,XS,89,1/5/7,534.0,N,2023-01-08
SKU-TSH-0041,tshirts,XL,96,0/4/6,720.0,N,2023-01-08
SKU-CRO-0042,croptops,M,81,1/6/9,405.0,N,2023-01-08
SKU-CRO-0043,croptops,S,26,1/3/7,260.0,N,2023-01-08
SKU-JAC-0044,jackets,XXL,84,0/3/6,840.0,N,2023-01-08
SKU-SHI-0045,shirts,L,84,0/1/2,999.0,N,2023-01-08
SKU-JAC-0046,jackets,L,99,1/5/5,594.0,N,2023-01-08
SKU-PAN-0047,pants,L,81,1/2/5,999.0,N,2023-01-08
SKU-CRO-0048,croptops,XS,28,0/2/4,420.0,N,2023-01-08
SKU-TSH-0049,tshirts,XS,100,2/4/4,750.0,N,2023-01-08
SKU-SHO-0050,shorts,M,92,0/1/1,999.0,N,2023-01-08
SKU-SHI-0051,shirts,XL,39,0/1/4,999.0,N,2023-01-08
SKU-SHI-0052,shirts,XL,50,2/3/7,500.0,N,2023-01-08
SKU-JAC-0053,jackets,XXL,45,1/4/7,337.5,N,2023-01-08
SKU-SHI-0054,shirts,M,52,1/4/5,390.0,N,2023-01-08
SKU-JAC-0055,jackets,S,92,1/2/2,999.0,N,2023-01-08
SKU-SHI-0001,shirts,M,0,66/232/374,0.0,N,2023-01-15
SKU-PAN-0002,pants,S,0,26/103/186,0.0,N,2023-01-15
SKU-SHI-0003,shirts,XS,0,22/79/125,0.0,N,2023-01-15
SKU-TSH-0004,tshirts,XL,0,9/48/78,0.0,N,2023-01-15
SKU-CRO-0005,croptops,L,0,16/45/71,0.0,N,2023-01-15
SKU-SHI-0006,shirts,L,0,5/28/48,0.0,N,2023-01-15
SKU-CRO-0007,croptops,S,0,8/24/52,0.0,N,2023-01-15
SKU-PAN-0008,pants,XXL,0,4/18/30,0.0,N,2023-01-15
SKU-PAN-0009,pants,M,0,6/18/31,0.0,N,2023-01-15
SKU-TSH-0010,tshirts,XXL,0,6/20/30,0.0,N,2023-01-15
SKU-SHO-0011,shorts,XS,0,5/16/26,0.0,N,2023-01-15
SKU-TSH-0012,tshirts,M,0,4/17/28,0.0,N,2023-01-15
SKU-SHI-0013,shirts,XXL,0,4/9/22,0.0,N,2023-01-15
SKU-CRO-0014,croptops,L,0,3/10/21,0.0,N,2023-01-15
SKU-SHI-0015,shirts,L,27,5/15/27,54.0,N,2023-01-15
SKU-PAN-0016,pants,M,13,0/9/12,43.3,N,2023-01-15
SKU-SHI-0017,shirts,XS,0,2/10/14,0.0,N,2023-01-15
SKU-PAN-0018,pants,XXL,40,6/16/20,75.0,N,2023-01-15
SKU-CRO-0019,croptops,XXL,0,3/7/10,0.0,N,2023-01-15
SKU-PAN-0020,pants,M,11,4/11/13,30.0,N,2023-01-15
SKU-PAN-0021,pants,L,17,2/8/11,63.8,N,2023-01-15
SKU-PAN-0022,pants,XXL,36,3/8/16,135.0,N,2023-01-15
SKU-SHO-0023,shorts,M,48,1/9/12,160.0,N,2023-01-15
SKU-SHI-0024,shirts,L,0,1/6/14,0.0,N,2023-01-15
SKU-JAC-0025,jackets,XS,17,5/7/13,72.9,N,2023-01-15
SKU-PAN-0026,pants,XL,33,1/4/8,247.5,N,2023-01-15
SKU-JAC-0027,jackets,L,0,4/9/13,0.0,N,2023-01-15
SKU-PAN-0028,pants,L,37,1/9/13,123.3,N,2023-01-15
SKU-TSH-0029,tshirts,XL,46,2/6/9,230.0,N,2023-01-15
SKU-CRO-0030,croptops,XXL,13,2/3/5,130.0,N,2023-01-15
SKU-JAC-0031,jackets,L,0,2/6/10,0.0,N,2023-01-15
SKU-TSH-0032,tshirts,XL,55,1/4/7,412.5,N,2023-01-15
SKU-SHO-0033,shorts,XL,74,2/6/10,370.0,N,2023-01-15
SKU-PAN-0034,pants,XS,37,0/4/7,277.5,N,2023-01-15
SKU-CRO-0035,croptops,XXL,5,1/5/7,30.0,N,2023-01-15
SKU-SHI-0036,shirts,L,88,3/4/8,660.0,N,2023-01-15
SKU-CRO-0037,croptops,XL,77,1/6/7,385.0,N,2023-01-15
SKU-CRO-0038,croptops,XS,4,1/5/6,24.0,N,2023-01-15
SKU-SHO-0039,shorts,S,67,2/5/8,402.0,N,2023-01-15
SKU-SHO-0040,shorts,XS,88,1/5/7,528.0,N,2023-01-15
SKU-TSH-0041,tshirts,XXL,95,1/4/6,712.5,N,2023-01-15
SKU-CRO-0042,croptops,XL,80,1/6/8,400.0,N,2023-01-15
SKU-CRO-0043,croptops,S,26,0/2/6,390.0,N,2023-01-15
SKU-JAC-0044,jackets,M,84,0/2/6,999.0,N,2023-01-15
SKU-SHI-0045,shirts,M,84,0/1/2,999.0,N,2023-01-15
SKU-JAC-0046,jackets,M,99,0/5/5,594.0,N,2023-01-15
SKU-PAN-0047,pants,M,79,2/4/7,592.5,N,2023-01-15
SKU-CRO-0048,croptops,S,28,0/1/3,840.0,N,2023-01-15
SKU-TSH-0049,tshirts,XXL,100,0/4/4,750.0,N,2023-01-15
SKU-SHO-0050,shorts,XL,90,2/3/3,900.0,N,2023-01-15
SKU-SHI-0051,shirts,XS,39,0/0/3,999.0,N,2023-01-15
SKU-SHI-0052,shirts,M,49,1/4/8,367.5,N,2023-01-15
SKU-JAC-0053,jackets,XL,44,1/5/7,264.0,N,2023-01-15
SKU-SHI-0054,shirts,XL,52,0/3/5,520.0,N,2023-01-15
SKU-JAC-0055,jackets,XS,92,0/2/2,999.0,N,2023-01-15
SKU-SHI-0001,shirts,XXL,0,68/262/404,0.0,N,2023-01-22
SKU-PAN-0002,pants,XXL,0,36/115/202,0.0,N,2023-01-22
SKU-SHI-0003,shirts,XS,0,13/72/129,0.0,N,2023-01-22
SKU-TSH-0004,tshirts,XS,0,17/52/86,0.0,N,2023-01-22
SKU-CRO-0005,croptops,L,0,7/47/73,0.0,N,2023-01-22
SKU-SHI-0006,shirts,M,0,5/25/47,0.0,N,2023-01-22
SKU-CRO-0007,croptops,XL,0,8/27/53,0.0,N,2023-01-22
SKU-PAN-0008,pants,S,0,6/17/30,0.0,N,2023-01-22
SKU-PAN-0009,pants,XL,0,4/17/32,0.0,N,2023-01-22
SKU-TSH-0010,tshirts,S,0,6/23/34,0.0,N,2023-01-22
SKU-SHO-0011,shorts,L,0,4/14/30,0.0,N,2023-01-22
SKU-TSH-0012,tshirts,L,0,3/17/28,0.0,N,2023-01-22
SKU-SHI-0013,shirts,XXL,0,1/9/21,0.0,N,2023-01-22
SKU-CRO-0014,croptops,M,0,4/12/20,0.0,N,2023-01-22
SKU-SHI-0015,shirts,L,25,2/13/28,57.7,N,2023-01-22
SKU-PAN-0016,pants,S,11,2/8/14,41.2,N,2023-01-22
SKU-SHI-0017,shirts,S,0,2/11/15,0.0,N,2023-01-22
SKU-PAN-0018,pants,XS,35,5/15/25,70.0,N,2023-01-22
SKU-CRO-0019,croptops,XL,0,1/6/10,0.0,N,2023-01-22
SKU-PAN-0020,pants,S,9,2/12/15,22.5,N,2023-01-22
SKU-PAN-0021,pants,XXL,13,4/11/14,35.5,N,2023-01-22
SKU-PAN-0022,pants,M,34,2/7/18,145.7,N,2023-01-22
SKU-SHO-0023,shorts,M,43,5/13/16,99.2,N,2023-01-22
SKU-SHI-0024,shirts,L,0,2/7/14,0.0,N,2023-01-22
SKU-JAC-0025,jackets,XL,16,1/8/13,60.0,N,2023-01-22
SKU-PAN-0026,pants,L,30,3/5/10,180.0,N,2023-01-22
SKU-JAC-0027,jackets,M,0,1/9/14,0.0,N,2023-01-22
SKU-PAN-0028,pants,XS,34,3/12/16,85.0,N,2023-01-22
SKU-TSH-0029,tshirts,XS,46,0/4/9,345.0,N,2023-01-22
SKU-CRO-0030,croptops,XL,12,1/3/5,120.0,N,2023-01-22
SKU-JAC-0031,jackets,XL,0,2/7/11,0.0,N,2023-01-22
SKU-TSH-0032,tshirts,M,54,1/3/8,540.0,N,2023-01-22
SKU-SHO-0033,shorts,L,74,0/4/8,555.0,N,2023-01-22
SKU-PAN-0034,pants,XXL,35,2/5/9,210.0,N,2023-01-22
SKU-CRO-0035,croptops,XS,5,0/4/7,37.5,N,2023-01-22
SKU-SHI-0036,shirts,XS,86,2/5/10,516.0,N,2023-01-22
SKU-CRO-0037,croptops,XS,75,2/7/9,321.4,N,2023-01-22
SKU-CRO-0038,croptops,XXL,4,0/3/6,40.0,N,2023-01-22
SKU-SHO-0039,shorts,XL,65,2/7/10,278.6,N,2023-01-22
SKU-SHO-0040,shorts,L,88,0/2/6,999.0,N,2023-01-22
SKU-TSH-0041,tshirts,XS,95,0/4/5,712.5,N,2023-01-22
SKU-CRO-0042,croptops,XS,79,1/5/8,474.0,N,2023-01-22
SKU-CRO-0043,croptops,M,26,0/1/6,780.0,N,2023-01-22
SKU-JAC-0044,jackets,S,84,0/2/4,999.0,N,2023-01-22
SKU-SHI-0045,shirts,XL,84,0/0/1,999.0,N,2023-01-22
SKU-JAC-0046,jackets,XXL,99,0/2/5,999.0,N,2023-01-22
SKU-PAN-0047,pants,XXL,76,3/7/8,325.7,N,2023-01-22
SKU-CRO-0048,croptops,XL,24,4/4/7,180.0,N,2023-01-22
SKU-TSH-0049,tshirts,XL,99,1/4/5,742.5,N,2023-01-22
SKU-SHO-0050,shorts,XL,90,0/3/3,900.0,N,2023-01-22
SKU-SHI-0051,shirts,XXL,39,0/0/2,999.0,N,2023-01-22
SKU-SHI-0052,shirts,XL,49,0/4/8,367.5,N,2023-01-22
SKU-JAC-0053,jackets,XL,42,2/5/8,252.0,N,2023-01-22
SKU-SHI-0054,shirts,XL,51,1/3/5,510.0,N,2023-01-22
SKU-JAC-0055,jackets,S,89,3/5/5,534.0,N,2023-01-22
SKU-SHI-0001,shirts,M,0,76/297/455,0.0,N,2023-01-29
SKU-PAN-0002,pants,L,0,44/137/233,0.0,N,2023-01-29
SKU-SHI-0003,shirts,S,0,21/79/144,0.0,N,2023-01-29
SKU-TSH-0004,tshirts,S,0,16/57/98,0.0,N,2023-01-29
